City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Drumheller,CA,51.4617,-112.7101,27.73,81,100,3.69,overcast clouds
80,Palizada,MX,18.25,-92.0833,69.78,91,100,6.58,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,60.3,68,23,1.01,few clouds
82,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,75,52,8.68,broken clouds
83,Laguna De Perlas,NI,12.3429,-83.6712,80.69,63,7,16.28,clear sky
84,Chokurdakh,RU,70.6333,147.9167,-12.98,86,100,1.5,overcast clouds
85,Huaiyin,CN,33.5886,119.0192,33.03,58,100,4.74,overcast clouds
86,Castro,BR,-24.7911,-50.0119,60.46,98,100,5.75,overcast clouds
87,Ribeira Grande,PT,38.5167,-28.7,59.4,63,20,10.36,few clouds
88,Thompson,CA,55.7435,-97.8558,-0.24,71,40,5.75,scattered clouds
89,Oranjestad,AW,12.524,-70.027,85.95,54,40,11.5,scattered clouds
90,Necochea,AR,-38.5473,-58.7368,90.03,37,1,15.77,clear sky
91,Avarua,CK,-21.2078,-159.775,82.45,78,20,11.5,few clouds
92,Mahebourg,MU,-20.4081,57.7,80.89,78,40,9.22,scattered clouds
93,Punta Arenas,CL,-53.15,-70.9167,53.71,43,75,24.16,broken clouds
94,Sinnamary,GF,5.3833,-52.95,80.17,74,74,7.99,broken clouds
95,Si Racha,TH,13.1737,100.9311,83.98,82,47,8.5,scattered clouds
96,Sikonge,TZ,-5.6333,32.7667,64.9,91,100,2.82,overcast clouds
97,Ngunut,ID,-8.1058,112.0159,76.46,90,100,2.75,overcast clouds
98,Jinxiang,CN,27.4327,120.6062,45.07,87,100,9.82,light rain
99,Santa Cruz,BO,-17.8,-63.1667,94.46,33,40,9.22,scattered clouds
100,Hilo,US,19.7297,-155.09,78.53,60,100,3.44,overcast clouds
101,Harnosand,SE,62.6323,17.9379,32.02,99,100,16.75,snow
102,Daru,PG,-9.0763,143.2092,78.33,85,100,10.85,heavy intensity rain
103,Chuy,UY,-33.6971,-53.4616,75.65,57,19,11.23,few clouds
104,Alofi,NU,-19.0595,-169.9187,82.29,83,75,6.91,broken clouds
105,Morant Bay,JM,17.8815,-76.4093,84.61,72,33,0.85,scattered clouds
106,Puerto Escondido,MX,15.85,-97.0667,85.03,61,20,9.22,few clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,75,11.5,broken clouds
108,San Jose,US,37.3394,-121.895,65.1,54,40,1.99,scattered clouds
109,Belousovka,KZ,50.1339,82.5239,-13.95,84,20,2.24,mist
110,Maniitsoq,GL,65.4167,-52.9,9.46,76,100,30.29,light snow
111,Yellowknife,CA,62.456,-114.3525,-4.59,83,100,5.75,light snow
112,Ponta Do Sol,PT,32.6667,-17.1,65.03,67,20,4.81,few clouds
113,Kapaa,US,22.0752,-159.319,78.78,75,0,1.01,clear sky
114,Bredasdorp,ZA,-34.5322,20.0403,65.52,77,5,8.05,clear sky
115,Victoria,HK,22.2855,114.1577,61.25,85,100,1.01,overcast clouds
116,Vila Velha,BR,-20.3297,-40.2925,84.15,80,20,14.0,few clouds
117,Dejen,ET,10.1667,38.1333,59.76,24,7,4.03,clear sky
118,Asau,RO,46.4333,26.4,27.52,89,79,7.61,broken clouds
119,Guerrero Negro,MX,27.9769,-114.0611,71.17,28,8,7.56,clear sky
120,Mattru,SL,7.6244,-11.8332,79.11,73,100,4.92,overcast clouds
121,Juba,SS,4.8517,31.5825,80.64,26,12,5.08,few clouds
122,Grand Gaube,MU,-20.0064,57.6608,81.0,75,86,4.0,overcast clouds
123,Baramati,IN,18.15,74.5833,65.3,37,6,4.16,clear sky
124,Krasnoselkup,RU,65.7,82.4667,-10.68,99,99,7.67,overcast clouds
125,Ghanaur,IN,30.3322,76.6072,46.72,75,3,9.04,clear sky
126,Marystown,CA,47.1666,-55.1483,35.85,100,100,14.0,overcast clouds
127,Riyadh,SA,24.6877,46.7219,53.74,35,0,11.3,clear sky
128,Dong Hoi,VN,17.4833,106.6,72.45,90,98,3.11,overcast clouds
129,Rocha,UY,-34.4833,-54.3333,77.54,52,10,13.0,clear sky
130,East London,ZA,-33.0153,27.9116,71.87,80,83,11.77,broken clouds
131,Tura,IN,25.5198,90.2201,50.94,57,0,2.19,clear sky
132,Mbekenyera,TZ,-10.0,38.9833,68.97,98,100,2.93,overcast clouds
133,Harper,LR,4.375,-7.7169,80.15,85,63,7.23,broken clouds
134,Arlit,NE,18.7369,7.3853,65.52,14,2,10.38,clear sky
135,Saint-Pierre,RE,-21.3393,55.4781,80.28,74,40,11.5,scattered clouds
136,Kisangani,CD,0.5167,25.2,73.31,42,3,2.26,clear sky
137,Kenitra,MA,34.261,-6.5802,65.73,57,78,9.55,broken clouds
138,Port Hedland,AU,-20.3167,118.5667,82.45,74,100,8.05,overcast clouds
139,Tashtagol,RU,52.7657,87.8894,-2.72,99,13,2.68,few clouds
140,Kruisfontein,ZA,-34.0033,24.7314,65.88,86,0,6.64,clear sky
141,Mar Del Plata,AR,-38.0023,-57.5575,84.22,89,0,18.99,light rain
142,Marigot,MF,18.0667,-63.0833,83.98,63,20,5.75,few clouds
143,Ahipara,NZ,-35.1667,173.1667,64.6,73,70,6.93,broken clouds
144,Balakhninskiy,RU,58.0106,114.2769,-23.01,100,100,1.3,overcast clouds
145,Brasilia De Minas,BR,-16.2064,-44.4333,75.94,84,95,4.79,overcast clouds
146,Sola,VU,-13.8833,167.55,82.96,77,100,22.46,overcast clouds
147,Chimore,BO,-16.9833,-65.1333,77.95,81,98,1.3,overcast clouds
148,Valvedditturai,LK,9.8167,80.1667,77.86,84,45,12.95,scattered clouds
149,Obigarm,TJ,38.7173,69.7088,22.48,74,100,8.28,overcast clouds
150,Verkhnyaya Toyma,RU,62.2349,44.9985,15.55,96,98,5.01,light snow
151,Miyang,CN,24.4042,103.4428,40.87,88,0,3.06,clear sky
152,Saint-Leu,RE,-21.15,55.2833,79.66,82,71,8.72,broken clouds
153,Talnakh,RU,69.4865,88.3972,-0.65,97,100,9.46,light snow
154,Wanxian,CN,30.8039,108.3897,42.33,88,95,2.04,overcast clouds
155,Kudahuvadhoo,MV,2.6708,72.8944,81.43,71,84,8.88,broken clouds
156,Pekan,MY,3.4836,103.3996,75.31,86,58,4.07,broken clouds
157,Salalah,OM,17.0151,54.0924,73.49,68,0,1.14,clear sky
158,Tasiilaq,GL,65.6145,-37.6368,14.16,77,91,5.77,overcast clouds
159,Kahului,US,20.8947,-156.47,80.62,59,20,10.36,few clouds
160,Tiksi,RU,71.6872,128.8694,-8.52,99,53,4.25,broken clouds
161,Buala,SB,-8.145,159.5921,80.35,83,100,7.38,light rain
162,Coahuayana,MX,18.7333,-103.6833,87.28,39,0,7.63,clear sky
163,Faanui,PF,-16.4833,-151.75,79.68,75,19,11.9,light rain
164,Kieta,PG,-6.2167,155.6333,78.93,88,100,8.52,light rain
165,Fairbanks,US,64.8378,-147.7164,-14.84,75,0,0.0,clear sky
166,Klaksvik,FO,62.2266,-6.589,34.72,64,82,32.03,broken clouds
167,Okato,NZ,-39.2,173.8833,62.69,75,10,4.56,clear sky
168,Geraldton,AU,-28.7667,114.6,70.21,88,0,5.75,clear sky
169,Madanapalle,IN,13.55,78.5,68.67,82,100,3.0,overcast clouds
170,Lincoln,US,40.8,-96.667,60.01,23,0,5.99,clear sky
171,Rudnyy,KZ,52.9594,63.1206,-0.17,94,100,3.89,overcast clouds
172,Dikson,RU,73.5069,80.5464,2.88,93,99,21.61,overcast clouds
173,Poum,NC,-20.2333,164.0167,80.89,79,40,8.93,scattered clouds
174,Sancti Spiritus,CU,21.9297,-79.4425,68.13,61,79,18.7,broken clouds
175,Kavaratti,IN,10.5669,72.642,80.69,74,75,6.15,broken clouds
176,Shelburne,CA,44.0787,-80.2041,12.99,41,0,6.15,clear sky
177,Carnarvon,AU,-24.8667,113.6333,77.07,83,78,10.36,broken clouds
178,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.03,84,98,8.14,overcast clouds
179,Caravelas,BR,-17.7125,-39.2481,82.29,73,0,10.07,clear sky
180,Baghdad,IQ,33.3406,44.4009,44.51,65,0,3.44,clear sky
181,Mogzon,RU,51.7435,111.9606,-23.93,100,87,1.74,overcast clouds
182,Flin Flon,CA,54.7682,-101.865,4.84,72,40,2.3,scattered clouds
183,Tiznit,MA,29.5833,-9.5,59.38,29,0,18.32,clear sky
184,Evensk,RU,61.95,159.2333,16.81,81,100,11.48,overcast clouds
185,Cherskiy,RU,68.75,161.3,-29.31,100,30,1.07,scattered clouds
186,Ardahan,TR,41.1087,42.7022,-0.71,94,89,1.32,overcast clouds
187,Vanimo,PG,-2.6741,141.3028,75.97,89,100,7.85,overcast clouds
188,Providencia,MX,28.7167,-111.5833,82.45,28,0,5.77,clear sky
189,Mapimi,MX,25.8167,-103.85,58.17,44,1,6.89,clear sky
190,Lagoa,PT,39.05,-27.9833,58.05,75,71,12.08,broken clouds
191,Solnechnyy,RU,50.7214,136.6319,-17.25,94,55,3.09,broken clouds
192,Norman Wells,CA,65.282,-126.8329,-21.96,69,20,3.44,few clouds
193,Oktyabrskiy,RU,54.4815,53.471,3.27,97,100,4.74,overcast clouds
194,Tselinnoye,RU,53.0833,85.6667,-5.04,100,98,3.4,overcast clouds
195,Dobroye,RU,52.8678,39.8109,29.7,97,100,4.72,overcast clouds
196,Noyabrsk,RU,63.1994,75.4507,-4.27,97,100,9.08,overcast clouds
197,Margate,GB,51.3813,1.3862,49.3,65,66,8.01,broken clouds
198,Korla,CN,41.7597,86.1469,23.58,55,100,4.76,overcast clouds
199,Torbay,CA,47.6666,-52.7314,33.58,90,100,23.02,overcast clouds
200,Sasovo,RU,54.3537,41.9199,22.73,97,99,3.96,light snow
201,Simbahan,PH,6.3032,120.5836,80.67,75,100,1.21,overcast clouds
202,Kirgiz-Miyaki,RU,53.6324,54.7979,8.47,93,100,5.08,overcast clouds
203,Kreminna,UA,49.0495,38.2179,30.34,92,100,12.21,overcast clouds
204,Te Anau,NZ,-45.4167,167.7167,57.4,89,100,1.74,light rain
205,Andros Town,BS,24.7,-77.7667,60.76,56,82,25.64,broken clouds
206,Buffalo,US,42.8865,-78.8784,17.15,54,20,8.05,few clouds
207,Angoche,MZ,-16.2325,39.9086,77.99,84,100,6.26,overcast clouds
208,Dubuque,US,42.4833,-90.8668,28.54,51,0,12.66,clear sky
209,Havoysund,NO,70.9963,24.6622,20.28,76,97,13.6,light snow
210,Yar-Sale,RU,66.8333,70.8333,-8.9,96,97,8.72,overcast clouds
211,San Carlos De Bariloche,AR,-41.1456,-71.3082,77.45,32,0,25.32,clear sky
212,Koumac,NC,-20.5667,164.2833,80.1,84,38,4.21,scattered clouds
213,Kologriv,RU,58.8275,44.3178,14.52,97,96,4.47,overcast clouds
214,Antofagasta,CL,-23.65,-70.4,72.21,58,22,9.37,few clouds
215,Manta,EC,-0.95,-80.7333,82.18,74,40,6.91,scattered clouds
216,Kizukuri,JP,40.8061,140.3861,22.95,73,100,18.75,light snow
217,Dekernes,EG,31.0876,31.595,46.85,87,25,1.88,scattered clouds
218,Norton Shores,US,43.1689,-86.2639,24.98,59,100,5.99,overcast clouds
219,Ancud,CL,-41.8697,-73.8203,69.33,76,37,12.37,scattered clouds
220,Roald,NO,62.5833,6.1333,41.14,65,75,27.63,broken clouds
221,Saint George,US,37.1041,-113.5841,64.87,17,0,3.0,clear sky
222,Provideniya,RU,64.3833,-173.3,2.59,86,4,5.21,clear sky
223,Tazovskiy,RU,67.4667,78.7,-14.73,100,98,6.38,overcast clouds
224,Kilinochchi,LK,9.3961,80.3982,75.58,91,22,7.31,few clouds
225,Mount Gambier,AU,-37.8333,140.7667,62.51,88,100,6.91,overcast clouds
226,Katsuura,JP,35.1333,140.3,41.14,84,32,13.96,scattered clouds
227,Gurupa,BR,-1.405,-51.64,73.09,99,100,1.48,overcast clouds
228,Tavda,RU,58.0425,65.2726,5.56,98,100,3.4,overcast clouds
229,Leningradskiy,RU,69.3833,178.4167,-9.15,89,41,5.06,scattered clouds
230,Ardakan,IR,32.31,54.0175,46.78,28,0,8.41,clear sky
231,Ikalamavony,MG,-21.15,46.5833,68.94,80,0,4.27,clear sky
232,Havelock,US,34.8791,-76.9013,41.99,53,40,10.0,scattered clouds
233,Qaqortoq,GL,60.7167,-46.0333,14.5,90,100,4.63,overcast clouds
234,Chipinge,ZW,-20.1883,32.6236,64.76,90,39,6.08,scattered clouds
235,Obo,CF,5.3998,26.4869,71.53,21,5,5.53,clear sky
236,Saint-Philippe,RE,-21.3585,55.7679,80.19,84,57,9.55,broken clouds
237,Sitka,US,57.0531,-135.33,37.29,87,100,19.57,moderate rain
238,Severo-Kurilsk,RU,50.6789,156.125,23.45,77,87,19.37,overcast clouds
